Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,24.42,24.90,21.32,22.389999,840500,22.366211
2015-11-02,24.799999,26.24,23.129999,24.27,1004800,24.244215
2015-10-01,36.25,40.799999,23.74,24.67,1502500,24.618986
2015-09-01,37.169998,40.060001,35.049999,36.110001,742000,36.035332
2015-08-03,37.029999,39.689999,32.360001,37.650002,562000,37.549194
2015-07-01,36.57,39.060001,33.560001,36.98,806300,36.880985
2015-06-01,35.16,36.98,33.700001,36.209999,605600,36.113049
2015-05-01,34.099998,36.700001,33.610001,35.029999,517300,34.912609
2015-04-01,28.309999,36.07,27.40,34.00,650900,33.886063
2015-03-02,30.02,30.35,27.51,28.309999,638900,28.215128
2015-02-02,31.67,33.709999,29.450001,29.809999,630700,29.685741
2015-01-02,30.809999,32.900002,28.74,31.66,771000,31.52803
2014-12-01,28.26,31.33,26.66,30.57,534200,30.442574
2014-11-03,24.74,29.10,24.74,28.379999,670300,28.261702
2014-10-01,24.25,25.17,23.25,24.76,690100,24.637203
2014-09-02,25.49,26.07,24.25,24.32,691900,24.199385
2014-08-01,26.40,26.92,24.75,25.620001,907800,25.492937
2014-07-01,35.669998,36.740002,26.280001,26.379999,876900,26.227617
2014-06-02,32.93,35.82,32.709999,35.639999,548000,35.434128
2014-05-01,29.540001,33.849998,29.360001,32.84,1063700,32.629513
2014-04-01,30.33,31.32,27.950001,29.469999,1252700,29.281113
2014-03-03,30.540001,32.639999,29.73,30.24,1021800,30.046177
2014-02-03,26.83,32.27,26.559999,30.73,2251300,30.533037
2014-01-02,29.43,29.90,26.18,26.889999,1429700,26.699432
2013-12-02,28.639999,29.809999,28.02,29.40,641600,29.191645
2013-11-01,28.35,30.299999,27.99,28.639999,661700,28.437029
2013-10-01,27.620001,29.50,26.200001,28.370001,1161700,28.148659
2013-09-03,27.309999,28.370001,26.43,27.700001,618100,27.483885
2013-08-01,28.790001,29.34,27.030001,27.07,442600,26.858799
2013-07-01,28.15,30.059999,27.74,28.66,437700,28.419172
2013-06-03,28.16,29.309999,27.280001,28.01,474200,27.774635
2013-05-01,28.620001,29.530001,27.620001,28.09,518100,27.836943
2013-04-01,28.709999,29.360001,26.92,28.709999,546700,28.451355
2013-03-01,27.25,29.00,26.809999,28.68,382800,28.421627
2013-02-01,29.809999,30.450001,27.27,27.290001,444100,27.027304
2013-01-02,28.719999,30.90,28.299999,29.65,354600,29.364584
2012-12-03,28.860001,29.280001,24.610001,28.280001,511600,28.007772
2012-11-01,30.84,32.529999,28.18,28.700001,508100,28.423731
2012-10-01,27.870001,30.84,26.23,30.83,453400,30.515301
2012-09-04,29.84,31.190001,27.370001,27.809999,612300,27.526129
2012-08-01,29.41,31.290001,28.549999,29.870001,360700,29.565102
2012-07-02,28.27,30.40,27.66,29.33,363300,29.016016
2012-06-01,26.059999,28.59,25.57,28.309999,511700,28.006935
2012-05-01,27.110001,27.93,25.129999,26.549999,411100,26.250856
2012-04-02,25.870001,28.280001,24.57,27.17,496600,26.863873
2012-03-01,27.950001,28.02,25.120001,25.90,651600,25.608181
2012-02-01,26.75,31.780001,26.610001,27.940001,669900,27.610367
2012-01-03,27.23,28.280001,24.59,26.610001,720200,26.296059
2011-12-01,26.200001,27.52,25.219999,26.68,360100,26.365232
2011-11-01,25.99,27.00,23.91,26.280001,483300,25.969952
2011-10-03,25.190001,29.10,23.24,26.76,553800,26.428017
2011-09-01,26.57,28.059999,24.219999,25.25,507500,24.93675
2011-08-01,25.51,27.00,22.17,26.639999,762500,26.309505
2011-07-01,28.370001,29.34,24.690001,25.209999,539500,24.885096
2011-06-01,28.190001,28.49,24.790001,28.26,564500,27.895788
2011-05-02,29.110001,29.190001,26.700001,28.209999,545000,27.833527
2011-04-01,25.50,29.290001,24.950001,28.790001,500700,28.405788
2011-03-01,23.620001,25.52,21.790001,25.360001,668800,25.021563
2011-02-01,19.290001,24.59,19.25,23.540001,661700,23.212549
2011-01-03,20.50,21.23,19.16,19.190001,465700,18.923059
