Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,5.52,5.88,5.12,5.67,1001200,5.67
2015-11-02,5.74,5.93,5.28,5.39,774500,5.39
2015-10-01,5.50,6.16,5.22,5.74,1443600,5.74
2015-09-01,4.76,5.80,4.70,5.49,1572700,5.49
2015-08-03,5.52,5.56,4.54,4.92,2082400,4.92
2015-07-01,6.75,6.79,5.24,5.60,1748500,5.260638
2015-06-01,7.03,7.06,6.35,6.60,1656200,6.200037
2015-05-01,7.08,7.28,6.94,7.06,1222400,6.632161
2015-04-01,7.21,7.65,6.73,7.13,1572100,6.697919
2015-03-02,7.27,8.12,7.00,7.20,1788100,6.763677
2015-02-02,6.68,7.46,6.56,7.10,1420400,6.669737
2015-01-02,6.12,6.97,5.91,6.61,1491200,6.209432
2014-12-01,6.20,6.45,5.98,6.13,782400,5.75852
2014-11-03,6.08,6.35,5.83,6.18,1062200,5.80549
2014-10-01,5.97,6.38,5.69,6.17,776300,5.796095
2014-09-02,6.34,6.48,5.85,5.91,642900,5.551851
2014-08-01,6.03,6.55,5.95,6.38,628100,5.99337
2014-07-01,6.67,6.89,5.92,5.99,1006400,5.42683
2014-06-02,6.47,6.66,6.28,6.50,972000,5.888881
2014-05-01,5.92,6.60,5.78,6.44,681200,5.834522
2014-04-01,5.58,5.92,5.43,5.91,555800,5.354352
2014-03-03,4.98,5.64,4.92,5.55,1082900,5.028198
2014-02-03,4.47,5.03,4.44,4.97,505600,4.502728
2014-01-02,4.75,4.93,4.45,4.52,764800,4.095037
2013-12-02,5.07,5.11,4.48,4.80,1474100,4.348712
2013-11-01,4.87,5.38,4.79,5.04,867900,4.566147
2013-10-01,4.71,5.05,4.71,4.93,484600,4.466489
2013-09-03,4.36,4.79,4.36,4.78,805900,4.330593
2013-08-01,4.02,4.32,3.96,4.27,470600,3.868542
2013-07-01,4.15,4.30,3.97,4.01,878500,3.632987
2013-06-03,4.21,4.25,3.87,4.06,738400,3.368528
2013-05-01,4.44,4.46,4.04,4.20,787000,3.484684
2013-04-01,4.05,4.48,3.91,4.48,567000,3.716997
2013-03-01,4.15,4.32,3.91,4.11,870900,3.410013
2013-02-01,4.03,4.20,3.89,4.13,790900,3.426607
2013-01-02,4.43,4.65,3.99,3.99,827600,3.31045
2012-12-03,4.13,4.31,4.01,4.28,551200,3.55106
2012-11-01,3.78,4.13,3.68,4.13,871900,3.426607
2012-10-01,3.75,3.94,3.44,3.80,926600,3.15281
2012-09-04,3.79,3.95,3.67,3.73,969200,3.094732
2012-08-01,3.84,4.26,3.60,3.70,727000,3.069841
2012-07-02,4.12,4.22,3.58,3.81,1164100,3.090613
2012-06-01,4.56,4.56,3.93,4.07,1592800,3.301521
2012-05-01,5.07,5.21,4.53,4.63,1239000,3.755784
2012-04-02,5.11,5.22,4.76,5.07,1090300,4.112705
2012-03-01,4.83,5.20,4.57,5.13,1153100,4.161376
2012-02-01,5.23,5.31,4.64,4.88,1802800,3.95858
2012-01-03,4.37,5.40,4.35,5.27,1514100,4.274942
2011-12-01,4.66,4.80,4.11,4.34,956700,3.52054
2011-11-01,4.39,4.79,4.31,4.50,1130300,3.65033
2011-10-03,4.16,4.65,4.00,4.42,1428800,3.585435
2011-09-01,4.45,5.06,4.17,4.22,1138600,3.423198
2011-08-01,5.54,5.56,4.00,4.49,1824400,3.642218
2011-07-01,5.61,5.82,4.97,5.31,1852100,4.225305
2011-06-01,6.19,6.34,5.37,5.64,1271200,4.487895
2011-05-02,5.91,6.17,5.62,6.15,1699800,4.893715
2011-04-01,5.56,5.95,4.99,5.90,1166100,4.694784
2011-03-01,5.84,6.03,5.19,5.48,2003900,4.360579
2011-02-01,6.14,6.57,5.67,5.72,1599600,4.551553
2011-01-03,5.73,6.66,5.43,6.12,805500,4.869843
