Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,139.580002,141.399994,133.910004,137.619995,4596000,134.926376
2015-11-02,140.50,142.800003,131.649994,139.419998,4499100,136.691147
2015-10-01,145.309998,153.149994,137.330002,140.080002,5655900,136.061951
2015-09-01,144.910004,149.679993,141.149994,144.970001,4083700,140.811691
2015-08-03,161.699997,161.850006,140.619995,147.889999,4658100,143.647934
2015-07-01,163.970001,173.779999,158.50,161.990005,4428800,156.048065
2015-06-01,170.210007,171.559998,162.119995,162.660004,3838400,156.693497
2015-05-01,173.199997,176.300003,168.839996,169.649994,3101000,163.427078
2015-04-01,160.229996,175.130005,158.389999,171.289993,4709400,163.767563
2015-03-02,161.940002,165.350006,153.399994,160.50,4962100,153.451431
2015-02-02,154.00,164.990005,151.509995,161.940002,4317600,154.828186
2015-01-02,161.309998,163.309998,149.520004,153.309998,6198300,145.556137
2014-12-01,161.639999,164.520004,150.50,160.440002,4799700,152.325531
2014-11-03,164.25,164.970001,159.800003,162.169998,4337700,153.968033
2014-10-01,189.910004,190.889999,161.100006,164.399994,6611800,155.024216
2014-09-02,192.679993,195.00,188.119995,189.830002,3195800,179.003952
2014-08-01,190.50,194.130005,183.580002,192.300003,2684000,181.333084
2014-07-01,181.699997,196.399994,181.699997,191.669998,4627500,179.676407
2014-06-02,184.759995,187.649994,179.270004,181.270004,3939300,169.92717
2014-05-01,196.309998,196.740005,182.330002,184.360001,3554200,172.823822
2014-04-01,193.119995,199.210007,187.009995,196.470001,5840600,183.10994
2014-03-03,183.330002,195.630005,182.210007,192.490005,6072400,179.400574
2014-02-03,176.020004,186.119995,172.190002,185.169998,4827500,172.578339
2014-01-02,187.210007,190.809998,175.339996,176.679993,6127700,163.767853
2013-12-02,179.460007,187.789993,172.729996,187.570007,4838700,173.862015
2013-11-01,179.809998,186.240005,177.309998,179.679993,5192700,166.548615
2013-10-01,185.339996,186.990005,172.570007,179.210007,5881900,165.225662
2013-09-03,183.630005,194.889999,182.309998,185.179993,3773300,170.729797
2013-08-01,196.649994,197.169998,181.100006,182.270004,3445800,168.046875
2013-07-01,192.149994,200.940002,190.259995,195.039993,4176700,178.925949
2013-06-03,208.25,210.050003,188.410004,191.110001,4513500,175.320648
2013-05-01,201.869995,211.979996,199.199997,208.020004,4346900,190.833557
2013-04-01,212.800003,214.889999,187.679993,202.539993,5282100,184.939468
2013-03-01,200.649994,215.899994,199.360001,213.300003,3988600,194.764435
2013-02-01,204.649994,205.350006,197.509995,200.830002,3622800,183.378067
2013-01-02,194.089996,208.580002,190.389999,203.070007,4320300,184.646194
2012-12-03,190.759995,196.449997,186.940002,191.550003,4200200,174.171371
2012-11-01,194.679993,198.00,184.779999,190.070007,4134700,172.825638
2012-10-01,208.009995,211.789993,190.559998,194.529999,4867000,176.11026
2012-09-04,196.610001,208.320007,193.25,207.449997,4329000,187.806885
2012-08-01,196.960007,202.00,193.020004,194.850006,2775900,176.399963
2012-07-02,196.360001,197.839996,181.850006,195.979996,4524900,176.66864
2012-06-01,190.119995,199.990005,187.00,195.580002,4277000,176.30806
2012-05-01,207.179993,208.929993,192.00,192.899994,4331400,173.892136
2012-04-02,208.960007,210.690002,196.789993,207.080002,4468800,185.896118
2012-03-01,197.229996,209.119995,196.809998,208.649994,4150500,187.305496
2012-02-01,193.210007,199.229996,190.830002,196.729996,4196300,176.604889
2012-01-03,186.729996,193.100006,177.350006,192.600006,5742000,172.22673
2011-12-01,187.009995,194.899994,179.039993,183.880005,5093600,164.429138
2011-11-01,181.550003,189.970001,177.059998,188.00,4992900,168.113312
2011-10-03,174.360001,190.529999,168.880005,184.630005,7108200,164.438766
2011-09-01,172.710007,180.910004,158.759995,174.869995,6938200,155.746124
2011-08-01,182.600006,183.690002,157.130005,171.910004,8744700,153.109833
2011-07-01,171.610001,185.630005,171.490005,181.850006,6012900,161.260559
2011-06-01,168.899994,172.449997,161.520004,171.550003,5024800,152.126755
2011-05-02,172.110001,173.539993,165.899994,168.929993,5710800,149.803375
2011-04-01,163.699997,173.00,162.190002,170.580002,5317800,150.593109
2011-03-01,163.149994,167.720001,151.710007,163.070007,5807600,143.963074
2011-02-01,162.110001,166.25,159.029999,161.880005,4938900,142.912506
2011-01-03,147.210007,164.350006,146.639999,162.00,6301400,142.454407
